000,----,--,--,--,city                 ,latitude   ,longitude   ,studieverblijf,standplaats,zonder verankering,kort verblijf
070,----,EU,FR,--,Paris                ,-          ,-           ,-,-,Noël Salazar,-
071,----,EU,FR,--,Paris                ,-          ,-           ,-,Giovanni Samaey,-,-
072,----,EU,FR,--,Paris                ,-          ,-           ,-,Violet Soen,-,-
073,----,EU,FR,--,Paris                ,-          ,-           ,-,-,-,Johan Meyers
074,----,EU,FR,--,Paris                ,-          ,-           ,-,-,-,Koen Brosens
075,----,EU,FR,--,Paris                ,-          ,-           ,-,-,-,Lieve Van Hoof
076,----,EU,FR,--,Paris                ,-          ,-           ,-,-,-,Peter Van Nuffelen
077,-¶¶¶,EU,FR,--,LILLE                ,50.62925   ,3.057256    ,-,1,-,2
078,----,EU,FR,--,Lille                ,-          ,-           ,-,Giovanni Samaey,-,-
079,----,EU,FR,--,Lille                ,-          ,-           ,-,-,-,Jelle Haemers
080,----,EU,FR,--,Lille                ,-          ,-           ,-,-,-,Veerle De Herdt
081,-¶¶¶,EU,FR,--,ANGERS               ,47.473612  ,-0.554167   ,-,-,-,1
082,----,EU,FR,--,Angers               ,-          ,-           ,-,-,-,Peter Van Nuffelen
083,-¶¶¶,EU,FR,--,GRENOBLE             ,45.188529  ,5.724524    ,-,-,1,-
084,----,EU,FR,--,Grenoble             ,-          ,-           ,-,-,Wim Thielemans,-
085,-¶¶¶,EU,FR,--,ROUEN                ,49.443232  ,1.099971    ,-,-,-,1
086,----,EU,FR,--,Rouen                ,-          ,-           ,-,-,-,Wim Thielemans
087,-¶¶¶,EU,FR,--,TOUR DU VALAT        ,43.5082    ,4.66686     ,-,-,-,1
088,----,EU,FR,--,Tour du Valat        ,-          ,-           ,-,-,-,Tine Huyse
089,--¶¶,EU,NL,--,NEDERLAND            ,-          ,-           ,2,1,3,4
090,-¶¶¶,EU,NL,--,WAGENINGEN           ,51.969187  ,5.665395    ,1,-,1,-
091,----,EU,NL,--,Wageningen           ,-          ,-           ,Jan Aerts,-,-,-
092,----,EU,NL,--,Wageningen           ,-          ,-           ,-,-,Jan Aerts,-
093,-¶¶¶,EU,NL,--,TWENTE               ,52.216667  ,6.9         ,-,-,-,2
094,----,EU,NL,--,Twente               ,-          ,-           ,-,-,-,Johan Meyers
095,----,EU,NL,--,Twente               ,-          ,-           ,-,-,-,Johan Meyers
096,-¶¶¶,EU,NL,--,AMSTERDAM            ,52.370216  ,4.895168    ,1,-,-,-
097,----,EU,NL,--,Amsterdam            ,-          ,-           ,Koen Jonckheere,-,1,-
098,----,EU,NL,--,Amsterdam            ,-          ,-           ,-,-,Koen Jonckheere,-
099,-¶¶¶,EU,NL,--,GRONINGEN            ,53.219384  ,6.566502    ,-,1,-,-
100,----,EU,NL,--,Groningen            ,-          ,-           ,-,Samuel Mareel,-,-
101,-¶¶¶,EU,NL,--,LEIDEN               ,52.160114  ,4.49701     ,-,-,1,-
102,----,EU,NL,--,Leiden               ,-          ,-           ,-,-,Peter Van Aelst,-
103,-¶¶¶,EU,NL,--,UTRECHT              ,52.090737  ,5.12142     ,-,-,1,-
104,----,EU,NL,--,Utrecht              ,-          ,-           ,-,-,Pieter Van der Veken,-
105,-¶¶¶,EU,NL,--,DELFT                ,52.011577  ,4.357068    ,-,-,-,1
106,----,EU,NL,--,Delft                ,-          ,-           ,-,-,-,Liesbet Geris
107,-¶¶¶,EU,NL,--,VLAARDINGEN          ,51.912067  ,4.349437    ,-,-,-,1
